trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
left turn real_038.trj,88.20,4.75,-315.51,0.00,0.00,0.00,6.46,6.46,-2.44,-2.87,3.38,-7.99,6:16,rear end,3.38,82.61,22,5,2,4.21,2.00,90.60,0.00,3.38,4.75,-315.51,4.75,-315.51,29,5,2,4.64,2.00,82.61,6.46,3.08,4.89,-329.11,6.08,-319.98,1.00,99.00,99.00,
left turn real_038.trj,147.00,5.30,-368.26,0.00,0.00,0.00,6.72,6.72,-1.70,-3.03,3.83,-8.71,6:17,lane change,2.89,81.89,59,5,2,4.76,2.07,90.60,0.00,2.89,5.30,-368.26,5.30,-368.26,62,5,2,3.75,1.99,81.89,6.72,3.83,5.45,-382.42,6.95,-371.89,1.00,99.00,99.00,
left turn real_038.trj,149.40,-0.01,-251.63,0.00,1.00,2.20,4.33,1.21,-0.61,-1.96,0.69,0.00,6:00,rear end,3.81,269.93,34,1,2,4.76,2.07,269.93,4.33,0.52,-0.01,-251.63,-0.02,-257.61,40,1,2,3.75,1.99,269.93,3.12,0.69,0.00,-240.16,-0.01,-251.35,1.00,99.00,99.00,
left turn real_038.trj,154.80,5.30,-367.69,0.00,0.70,2.20,7.27,7.09,-0.16,-7.08,4.04,0.00,5:59,rear end,3.24,90.60,59,5,2,4.76,2.07,90.60,0.18,3.05,5.30,-368.00,5.29,-366.94,66,5,2,3.75,1.99,90.60,7.27,4.04,5.45,-382.15,5.34,-371.81,1.00,99.00,99.00,
left turn real_038.trj,153.20,8.52,-366.61,0.00,1.00,2.20,2.87,2.87,-2.65,-2.65,1.57,3.44,5:53,rear end,1.57,90.60,62,5,1,3.75,1.99,87.16,0.00,1.57,8.52,-366.61,8.67,-363.68,64,5,1,4.61,1.95,90.60,2.87,1.30,8.86,-373.68,8.83,-370.91,1.00,99.00,99.00,
left turn real_038.trj,161.00,-0.02,-257.61,0.00,0.00,0.00,5.32,1.54,2.46,2.46,0.88,-24.34,6:49,rear end,0.66,245.59,34,1,2,4.76,2.07,269.93,0.00,0.66,-0.02,-257.61,-0.02,-257.61,40,1,2,3.75,1.99,245.59,1.54,0.88,-0.60,-251.93,-1.23,-253.33,1.00,99.00,99.00,
left turn real_038.trj,164.20,5.13,-351.65,0.00,1.50,2.80,1.51,1.39,-1.61,-1.61,0.69,47.19,4:26,lane change,0.83,85.63,57,5,2,4.76,2.07,43.41,0.20,0.69,5.13,-351.65,7.24,-349.65,59,5,2,4.76,2.07,90.60,1.51,0.69,5.19,-357.88,5.18,-356.33,1.00,99.00,99.00,
left turn real_038.trj,165.20,5.18,-356.92,0.00,1.20,2.80,4.39,3.47,-2.61,-2.61,1.85,0.00,6:00,rear end,2.53,90.60,59,5,2,4.76,2.07,90.60,0.92,1.61,5.19,-357.39,5.14,-352.88,68,5,2,4.36,1.97,90.60,4.39,1.85,5.29,-366.75,5.23,-361.41,1.00,99.00,99.00,
left turn real_038.trj,168.80,6.18,-299.48,0.00,1.40,1.60,6.94,5.36,-1.05,-1.71,2.85,15.78,5:28,rear end,4.11,87.25,31,5,2,4.21,2.00,74.82,1.66,2.51,5.78,-300.25,7.82,-292.72,66,5,1,3.75,1.99,90.60,6.94,2.85,8.22,-312.38,8.10,-301.02,1.00,99.00,99.00,
left turn real_038.trj,170.00,-0.02,-257.63,0.00,0.00,0.00,5.30,1.48,2.22,2.22,0.76,-23.98,6:48,rear end,0.72,245.95,34,1,2,4.76,2.07,269.93,0.00,0.72,-0.02,-257.61,-0.02,-257.63,58,1,2,4.64,2.00,245.95,1.48,0.76,-0.52,-251.39,-1.12,-252.74,1.00,99.00,99.00,
left turn real_038.trj,169.40,4.96,-335.50,0.00,0.60,2.60,3.41,2.74,-0.18,-6.62,1.39,0.00,6:00,rear end,1.75,90.60,52,5,2,4.61,1.95,90.60,0.36,1.39,4.96,-335.79,4.94,-333.65,55,5,2,4.64,2.00,90.60,3.10,1.35,5.05,-343.99,5.01,-339.97,1.00,99.00,99.00,
left turn real_038.trj,169.40,5.04,-342.68,0.00,1.30,1.00,4.42,0.89,-1.36,-7.49,0.46,2.62,5:55,rear end,3.86,89.48,55,5,2,4.64,2.00,87.98,3.41,0.46,5.04,-342.68,5.21,-337.62,59,5,2,4.76,2.07,90.60,4.28,0.43,5.13,-351.27,5.07,-346.14,1.00,99.00,99.00,
left turn real_038.trj,173.20,4.93,-332.49,0.00,1.10,1.20,1.69,1.16,-2.18,-2.18,0.59,-16.48,6:33,rear end,0.99,77.50,52,5,2,4.61,1.95,90.60,0.42,0.59,4.93,-332.50,4.93,-332.18,55,5,2,4.64,2.00,74.12,1.56,0.57,5.00,-338.97,5.48,-337.26,1.00,99.00,99.00,
left turn real_038.trj,175.80,6.65,-335.15,0.00,1.00,1.20,7.63,6.61,-1.20,-2.83,3.36,19.91,5:20,lane change,4.28,88.06,55,5,2,4.64,2.00,70.70,1.10,3.25,5.64,-337.03,8.06,-330.12,73,5,1,4.61,1.95,90.60,7.63,3.36,8.60,-349.11,8.48,-337.55,1.00,99.00,99.00,
left turn real_038.trj,174.40,4.61,-302.07,0.00,0.90,2.00,2.64,2.17,-0.63,-2.11,1.13,-6.11,6:12,rear end,1.51,85.50,33,5,2,4.64,2.00,90.60,0.48,1.03,4.61,-302.30,4.57,-298.47,39,5,2,4.21,2.00,84.49,2.64,1.13,4.70,-310.33,5.09,-306.30,1.00,99.00,99.00,
