trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
left turn real_036.trj,80.20,4.65,-305.74,0.00,0.00,0.00,3.63,3.09,-0.94,-0.94,1.62,-15.30,6:31,rear end,1.47,75.30,19,5,2,4.64,2.00,90.60,0.00,1.47,4.65,-305.74,4.65,-305.74,21,5,2,4.21,2.00,75.30,3.09,1.62,6.01,-310.21,6.01,-310.21,1.00,99.00,99.00,
left turn real_036.trj,88.80,4.70,-310.67,0.00,0.00,0.00,3.98,3.81,-0.38,-0.38,2.00,-13.81,6:28,rear end,2.00,76.79,22,5,2,4.21,2.00,90.60,0.00,2.00,4.70,-310.67,4.70,-310.67,29,5,2,4.64,2.00,76.79,3.81,1.82,6.03,-315.14,6.03,-315.14,1.00,99.00,99.00,
left turn real_036.trj,99.00,4.80,-320.60,0.00,0.00,0.00,1.13,0.62,-7.64,-7.64,0.32,-15.88,6:32,rear end,0.84,79.68,33,5,2,4.64,2.00,90.60,0.55,0.32,4.80,-320.60,4.80,-320.60,35,5,2,4.76,2.07,74.72,1.13,0.30,6.09,-325.30,6.09,-325.30,1.00,99.00,99.00,
left turn real_036.trj,155.40,4.58,-299.18,0.00,0.00,0.00,0.65,0.65,0.72,0.72,0.33,-26.98,6:54,rear end,0.33,63.62,22,5,2,4.21,2.00,90.60,0.00,0.33,4.58,-299.18,4.58,-299.18,31,5,2,4.21,2.00,63.62,0.65,0.33,5.48,-303.49,5.48,-303.49,1.00,99.00,99.00,
left turn real_036.trj,161.00,-0.02,-257.61,0.00,0.00,0.00,5.32,3.05,2.46,2.46,1.74,-21.72,6:43,rear end,1.31,248.21,34,1,2,4.76,2.07,269.93,0.00,1.31,-0.02,-257.61,-0.02,-257.61,40,1,2,3.75,1.99,248.21,3.05,1.74,-1.23,-253.33,-1.23,-253.33,1.00,99.00,99.00,
left turn real_036.trj,163.60,5.10,-348.45,0.00,0.00,0.00,1.22,0.63,0.80,0.80,0.36,-27.28,6:55,rear end,0.41,69.11,59,5,2,4.76,2.07,90.60,0.16,0.27,5.10,-348.45,5.10,-348.45,62,5,2,3.75,1.99,63.32,0.76,0.36,6.03,-352.84,6.03,-352.84,1.00,99.00,99.00,
left turn real_036.trj,164.60,5.09,-348.21,0.00,0.00,0.00,4.37,3.15,2.60,2.60,1.79,-27.52,6:55,rear end,1.59,65.53,59,5,2,4.76,2.07,90.60,0.26,1.36,5.09,-348.21,5.09,-348.21,62,5,1,3.75,1.99,63.08,3.38,1.79,7.17,-350.77,7.17,-350.77,1.00,99.00,99.00,
left turn real_036.trj,170.00,-0.02,-257.61,0.00,0.00,0.00,5.30,2.85,2.22,2.22,1.47,-21.10,6:42,rear end,1.38,248.83,34,1,2,4.76,2.07,269.93,0.00,1.38,-0.02,-257.61,-0.02,-257.61,58,1,2,4.64,2.00,248.83,2.85,1.47,-1.12,-252.74,-1.12,-252.74,1.00,99.00,99.00,
left turn real_036.trj,185.00,-0.83,-245.17,0.00,0.00,0.00,5.18,2.03,-7.20,-7.20,1.05,5.81,5:48,rear end,4.15,258.83,81,1,2,4.61,1.95,255.32,3.19,0.98,-0.83,-245.17,-0.83,-245.17,84,1,1,4.21,2.00,261.13,5.18,1.05,-2.38,-242.62,-2.38,-242.62,1.00,99.00,99.00,
left turn real_036.trj,185.40,-0.01,-251.03,0.00,0.00,0.00,5.70,3.74,1.37,1.37,1.93,-16.12,6:32,rear end,1.93,253.81,65,1,2,4.21,2.00,269.93,0.00,1.93,-0.01,-251.03,-0.01,-251.03,81,1,2,4.61,1.95,253.81,3.74,1.81,-1.26,-246.57,-1.26,-246.57,1.00,99.00,99.00,
