trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
left turn real_036.trj,170.80,4.79,-319.73,0.00,1.40,1.40,1.52,0.28,-1.54,-7.22,0.14,0.00,5:59,rear end,1.38,90.60,52,5,2,4.61,1.95,90.60,1.52,0.14,4.79,-319.73,4.77,-317.00,53,5,2,4.61,1.95,90.60,1.24,0.14,4.86,-326.04,4.83,-323.11,1.00,99.00,99.00,
left turn real_036.trj,180.40,4.92,-331.72,0.00,1.30,1.00,4.97,4.66,-2.51,-2.51,2.38,0.00,5:59,rear end,2.69,90.60,68,5,2,4.36,1.97,90.60,0.31,2.38,4.93,-332.51,4.90,-329.72,74,5,2,4.61,1.95,90.60,4.97,2.28,5.05,-343.80,4.97,-336.16,1.00,99.00,99.00,
left turn real_036.trj,183.00,5.00,-339.54,0.00,1.10,0.80,5.34,3.36,-1.42,-1.96,1.76,0.00,5:59,rear end,3.58,90.60,76,5,2,4.76,2.07,90.60,1.97,1.60,5.02,-341.56,4.98,-337.62,78,5,2,4.61,1.95,90.60,5.34,1.76,5.12,-351.11,5.05,-343.83,1.00,99.00,99.00,
left turn real_036.trj,183.60,0.00,-241.33,0.00,1.50,0.80,9.76,6.20,-7.05,-7.05,3.20,0.96,5:58,lane change,6.56,263.21,81,1,2,4.61,1.95,262.52,3.56,3.00,0.00,-241.33,-0.28,-243.47,84,1,2,4.21,2.00,263.47,9.76,3.20,-0.79,-229.99,-1.73,-238.22,1.00,99.00,99.00,
left turn real_036.trj,183.00,-0.01,-251.03,0.00,1.50,1.80,5.32,5.32,-3.17,-3.17,2.74,-9.04,6:18,rear end,2.74,260.89,65,1,2,4.21,2.00,269.93,0.00,2.74,-0.01,-251.03,-0.01,-251.03,81,1,2,4.61,1.95,260.89,5.32,2.58,0.00,-238.68,-1.26,-246.57,1.00,99.00,99.00,
left turn real_036.trj,181.00,5.00,-339.28,0.00,1.30,0.60,4.46,1.63,-1.57,-2.87,0.85,0.00,6:00,rear end,3.68,90.60,74,5,2,4.61,1.95,90.60,2.83,0.85,5.00,-339.28,4.83,-322.96,76,5,2,4.76,2.07,90.60,4.46,0.78,5.07,-346.27,4.95,-334.09,1.00,99.00,99.00,
left turn real_036.trj,192.00,4.64,-304.74,0.00,1.30,1.00,5.33,3.34,-2.77,-3.02,1.83,0.00,5:59,rear end,3.50,90.60,78,5,2,4.61,1.95,90.60,1.99,1.51,4.65,-305.66,4.61,-302.57,80,5,2,4.01,1.85,90.60,5.33,1.83,4.74,-314.63,4.68,-308.78,1.00,99.00,99.00,
left turn real_036.trj,191.20,5.25,-298.79,0.00,1.20,1.40,5.44,4.14,-2.39,-2.79,2.16,11.23,5:38,rear end,3.29,88.23,76,5,2,4.76,2.07,79.37,1.34,1.98,4.59,-299.84,7.86,-282.40,78,5,2,4.61,1.95,90.60,5.44,2.16,4.70,-310.77,4.52,-294.02,1.00,99.00,99.00,
left turn real_036.trj,194.20,4.66,-307.33,0.00,0.50,0.40,7.21,3.86,-0.01,-6.92,1.93,-0.41,6:01,rear end,4.95,90.73,80,5,2,4.01,1.85,91.01,3.02,1.93,4.69,-310.05,4.36,-291.38,82,5,2,4.01,1.85,90.60,6.88,1.93,4.79,-319.50,4.61,-301.79,1.00,99.00,99.00,
left turn real_036.trj,197.20,4.71,-311.63,0.00,1.10,1.60,6.13,6.13,-1.98,-2.73,3.29,2.63,5:55,rear end,3.29,90.60,86,5,2,4.01,1.85,87.97,0.00,3.29,4.71,-311.79,4.82,-308.77,85,5,2,4.36,1.97,90.60,6.13,2.85,4.85,-324.78,4.75,-315.71,1.00,99.00,99.00,
left turn real_036.trj,196.60,4.10,-289.92,0.00,1.30,1.00,2.90,2.06,-2.17,-2.17,1.13,-43.44,7:27,lane change,2.04,119.76,78,10004,1,4.61,1.95,146.07,1.59,0.93,4.17,-290.17,-9.68,-280.85,80,5,2,4.01,1.85,102.63,2.90,1.13,4.55,-296.61,2.18,-286.05,1.00,99.00,99.00,
left turn real_036.trj,202.60,0.00,-241.65,0.00,0.00,0.00,10.41,7.74,0.82,0.82,3.99,-7.03,6:14,lane change,3.95,263.08,92,1,2,4.61,1.95,269.93,0.20,3.75,0.00,-241.59,0.00,-241.65,94,1,2,4.21,2.00,262.90,7.94,3.99,-0.34,-226.20,-1.96,-239.21,1.00,99.00,99.00,
left turn real_036.trj,204.60,0.00,-241.76,0.00,1.30,1.80,7.33,7.33,-3.56,-6.23,4.01,0.00,6:00,rear end,3.32,269.93,92,1,2,4.61,1.95,269.93,0.00,3.32,0.00,-241.65,0.00,-243.34,95,1,2,4.01,1.85,269.93,7.33,4.01,0.02,-226.37,0.00,-237.49,1.00,99.00,99.00,
left turn real_036.trj,201.80,4.69,-309.98,0.00,1.40,0.60,7.45,3.62,-0.07,-2.71,1.85,0.00,6:00,rear end,5.66,90.60,85,5,2,4.36,1.97,90.60,3.81,1.85,4.71,-311.64,4.59,-299.98,88,5,2,4.61,1.95,90.60,7.42,1.77,4.81,-321.47,4.64,-304.96,1.00,99.00,99.00,
left turn real_036.trj,233.40,8.35,-325.12,0.00,1.30,1.40,6.24,3.94,-1.55,-2.74,2.03,7.52,5:45,rear end,4.21,95.99,104,5,1,4.61,1.95,90.60,2.33,1.91,8.36,-325.87,8.34,-324.17,106,5,1,4.21,2.00,98.12,6.24,2.03,8.49,-337.89,7.26,-329.32,1.00,99.00,99.00,
