trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
left turn real_002.trj,295.80,4.89,-328.49,0.00,0.00,0.00,2.49,1.51,-0.93,-0.93,0.83,-17.95,6:36,rear end,1.70,78.76,122,5,2,4.61,1.95,90.60,1.07,0.69,4.89,-328.49,4.89,-328.49,125,5,2,4.01,1.85,72.65,2.49,0.83,6.19,-332.83,6.19,-332.83,1.00,99.00,99.00,
left turn real_002.trj,299.40,-0.02,-228.72,0.00,0.00,0.00,3.25,3.25,2.66,2.66,1.63,-22.89,6:46,rear end,1.63,248.81,121,1,2,4.01,1.85,271.70,0.00,1.63,-0.02,-228.72,-0.02,-228.72,123,1,2,3.75,1.99,248.81,3.25,1.62,-1.21,-224.81,-1.21,-224.81,1.00,99.00,99.00,
left turn real_002.trj,300.60,0.00,-241.32,0.00,0.00,0.00,5.91,3.26,2.72,2.72,1.63,-20.66,6:41,rear end,1.63,249.26,116,1,2,4.21,2.00,269.93,0.00,1.63,0.00,-241.32,0.00,-241.32,120,1,2,4.21,2.00,249.26,3.26,1.63,-1.20,-237.09,-1.20,-237.09,1.00,99.00,99.00,
left turn real_002.trj,317.40,-0.01,-245.99,0.00,0.00,0.00,3.71,3.56,-1.68,-1.68,1.78,-19.01,6:38,rear end,1.93,251.72,121,1,2,4.01,1.85,269.93,0.16,1.78,-0.01,-245.99,-0.01,-245.99,127,1,1,4.01,1.85,250.93,3.71,1.78,-1.71,-243.41,-1.71,-243.41,1.00,99.00,99.00,
left turn real_002.trj,355.80,4.68,-308.59,0.00,0.00,0.00,4.98,3.32,-0.75,-0.75,1.77,-15.10,6:30,rear end,1.56,75.50,159,5,2,4.21,2.00,90.60,0.00,1.56,4.68,-308.59,4.68,-308.59,163,5,2,3.75,1.99,75.50,3.32,1.77,6.06,-312.62,6.06,-312.62,1.00,99.00,99.00,
left turn real_002.trj,364.80,4.68,-308.59,0.00,0.00,0.00,5.11,5.11,-1.95,-1.95,2.71,-11.17,6:22,rear end,2.40,79.43,159,5,2,4.21,2.00,90.60,0.00,2.40,4.68,-308.59,4.68,-308.59,167,5,1,3.75,1.99,79.43,5.11,2.71,6.36,-312.14,6.36,-312.14,1.00,99.00,99.00,
left turn real_002.trj,369.00,8.00,-304.15,0.00,0.00,0.00,7.27,4.59,2.24,2.24,2.44,6.39,5:47,rear end,2.44,90.24,167,5,1,3.75,1.99,83.86,0.00,2.44,8.00,-304.15,8.00,-304.15,169,10005,1,4.21,2.00,90.25,4.60,2.15,8.18,-307.49,8.18,-307.49,1.00,99.00,99.00,
left turn real_002.trj,369.80,8.08,-299.59,0.00,0.00,0.00,7.69,6.43,2.20,2.20,3.24,-11.17,6:22,rear end,3.18,79.44,165,5,1,4.36,1.97,90.60,0.00,3.18,8.08,-299.59,8.08,-299.59,169,10005,1,4.21,2.00,79.44,6.43,3.24,8.86,-303.17,8.86,-303.17,1.00,99.00,99.00,
left turn real_002.trj,412.20,4.97,-336.06,0.00,0.00,0.00,5.77,4.75,0.40,0.40,2.38,-11.93,6:24,rear end,2.53,79.03,186,5,2,4.01,1.85,90.60,0.16,2.38,4.97,-336.06,4.97,-336.06,188,5,2,4.01,1.85,78.67,4.90,2.38,6.39,-340.14,6.39,-340.14,1.00,99.00,99.00,
left turn real_002.trj,423.60,-1.24,-282.82,0.00,0.00,0.00,8.08,13.90,1.98,1.98,7.39,132.32,1:35,crossing,3.06,204.04,156,10004,1,4.21,2.00,137.91,7.12,6.51,-1.24,-282.82,-1.24,-282.82,162,10001,1,4.01,1.85,270.23,8.08,7.39,-3.50,-284.78,-3.50,-284.78,1.00,99.00,99.00,
