trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
left turn real_002.trj,161.40,5.02,-340.85,0.00,0.70,2.40,4.34,1.26,-1.00,-7.25,0.65,0.00,5:59,rear end,3.72,90.60,55,5,2,4.64,2.00,90.60,3.07,0.65,5.03,-341.77,4.99,-338.23,57,5,2,4.76,2.07,90.60,4.33,0.61,5.13,-351.60,5.06,-345.28,1.00,99.00,99.00,
left turn real_002.trj,166.20,4.81,-321.11,0.00,1.40,0.80,4.46,1.58,-1.63,-4.09,0.80,0.00,6:00,rear end,3.68,90.60,53,5,2,4.61,1.95,90.60,2.88,0.80,4.81,-321.11,4.79,-319.77,55,5,2,4.64,2.00,90.60,4.46,0.78,4.88,-328.13,4.86,-325.58,1.00,99.00,99.00,
left turn real_002.trj,163.00,5.08,-346.48,0.00,0.60,1.00,3.96,3.68,-0.83,-3.21,1.84,0.00,6:00,rear end,2.12,90.60,57,5,2,4.76,2.07,90.60,0.28,1.84,5.08,-346.61,4.93,-332.39,59,5,2,4.76,2.07,90.60,3.96,1.84,5.17,-355.60,5.03,-342.23,1.00,99.00,99.00,
left turn real_002.trj,166.40,4.74,-314.17,0.00,0.90,2.80,2.15,2.15,-3.64,-3.64,1.07,0.00,5:59,rear end,1.07,90.60,52,5,2,4.61,1.95,90.60,0.00,1.07,4.74,-314.19,4.72,-312.28,53,5,2,4.61,1.95,90.60,2.15,1.07,4.80,-320.61,4.78,-318.69,1.00,99.00,99.00,
left turn real_002.trj,164.80,4.80,-320.70,0.00,1.00,3.00,5.88,2.23,-0.40,-6.67,1.13,-7.98,6:16,lane change,4.61,87.47,52,5,2,4.61,1.95,90.60,5.71,1.13,4.80,-320.70,4.71,-311.76,55,5,2,4.64,2.00,82.63,3.57,1.10,4.98,-337.56,7.37,-319.13,1.00,99.00,99.00,
left turn real_002.trj,165.60,5.09,-348.32,0.00,1.30,0.80,7.24,5.25,-0.20,-6.92,2.80,0.00,6:00,rear end,4.44,90.60,59,5,2,4.76,2.07,90.60,1.99,2.44,5.11,-349.85,4.95,-334.74,68,5,2,4.36,1.97,90.60,7.24,2.80,5.24,-361.86,5.05,-343.85,1.00,99.00,99.00,
left turn real_002.trj,165.80,4.86,-325.96,0.00,1.00,3.00,5.59,1.38,-0.39,-5.38,0.72,-2.07,6:04,rear end,4.86,89.66,53,5,2,4.61,1.95,90.60,5.58,0.72,4.86,-325.96,4.79,-319.30,57,5,2,4.76,2.07,88.53,4.21,0.66,5.02,-341.59,5.31,-330.55,1.00,99.00,99.00,
left turn real_002.trj,170.00,-0.02,-257.77,0.00,0.00,0.00,5.30,1.48,2.22,2.22,0.76,-23.98,6:48,rear end,0.72,245.95,34,1,2,4.76,2.07,269.93,0.00,0.72,-0.02,-257.77,-0.02,-257.77,58,1,2,4.64,2.00,245.95,1.48,0.76,-0.52,-251.55,-1.12,-252.89,1.00,99.00,99.00,
left turn real_002.trj,183.20,-0.01,-251.18,0.00,1.50,1.80,4.76,4.76,-3.04,-3.04,2.45,-10.20,6:20,rear end,2.45,259.73,65,1,2,4.21,2.00,269.93,0.00,2.45,-0.01,-251.18,-0.01,-251.18,81,1,2,4.61,1.95,259.73,4.76,2.30,0.00,-239.72,-1.27,-246.72,1.00,99.00,99.00,
left turn real_002.trj,193.00,-38.02,-280.72,0.00,1.00,1.60,6.30,6.30,-2.05,-2.75,3.22,-2.49,6:05,rear end,3.22,177.51,68,8,2,4.36,1.97,180.00,0.00,3.22,-38.01,-280.72,-40.91,-280.72,74,8,2,4.61,1.95,177.51,6.30,3.08,-24.43,-280.73,-33.56,-280.33,1.00,99.00,99.00,
left turn real_002.trj,197.40,-6.59,-281.01,0.00,0.00,0.00,11.37,15.77,0.12,0.12,8.63,119.79,2:00,crossing,5.31,239.31,80,10004,1,4.01,1.85,150.19,6.89,8.63,2.13,-286.01,-6.59,-281.01,90,1,1,4.61,1.95,269.97,11.17,7.14,-3.51,-261.53,-3.52,-279.57,1.00,99.00,99.00,
left turn real_002.trj,204.20,0.00,-238.46,0.00,1.30,1.60,6.08,5.48,-0.55,-7.13,3.00,0.00,6:00,rear end,2.98,269.93,92,1,2,4.61,1.95,269.93,0.50,2.48,0.00,-238.34,0.00,-240.29,95,1,2,4.01,1.85,269.93,5.98,3.00,0.02,-226.05,0.01,-234.23,1.00,99.00,99.00,
left turn real_002.trj,233.60,-3.49,-230.94,0.00,1.50,2.80,9.40,0.21,-0.94,-3.18,0.12,0.00,6:00,rear end,9.30,269.93,113,1,1,4.01,1.85,269.93,9.19,0.12,-3.49,-230.94,-3.50,-243.95,112,1,1,4.64,2.00,269.93,9.40,0.09,-3.45,-198.60,-3.48,-226.87,1.00,99.00,99.00,
left turn real_002.trj,246.80,-3.46,-211.37,0.00,1.50,2.60,11.52,2.70,-1.15,-3.29,1.48,1.19,5:58,rear end,10.05,270.55,118,1,1,4.61,1.95,269.93,8.83,1.22,-3.46,-211.37,-3.48,-223.69,121,1,1,4.01,1.85,271.12,11.52,1.48,-3.43,-180.57,-2.89,-207.93,1.00,99.00,99.00,
left turn real_002.trj,283.40,-1.01,-282.93,0.00,0.00,0.00,8.72,10.84,2.44,2.44,5.47,142.90,1:14,crossing,1.82,195.91,85,10004,1,4.36,1.97,127.31,5.76,5.37,3.98,-289.48,-1.01,-282.93,94,10001,1,4.21,2.00,270.22,5.67,5.47,-3.53,-275.69,-3.50,-284.36,1.00,99.00,99.00,
left turn real_002.trj,286.60,-1.59,-282.62,0.00,0.00,0.00,10.35,10.67,1.83,1.83,5.42,134.99,1:30,crossing,2.70,237.69,88,10004,1,4.61,1.95,135.09,4.15,5.42,2.81,-287.01,-1.59,-282.62,107,1,1,4.64,2.00,270.08,7.32,5.25,-3.53,-268.86,-3.52,-279.07,1.00,99.00,99.00,
left turn real_002.trj,287.40,3.90,-289.43,0.00,1.40,0.60,5.38,2.65,-1.71,-2.00,1.51,-20.78,6:42,rear end,4.07,99.75,93,10004,1,4.76,2.07,111.38,3.20,1.14,4.10,-289.99,3.18,-287.63,99,5,2,4.01,1.85,90.60,5.38,1.51,4.56,-297.52,4.52,-293.74,1.00,99.00,99.00,
left turn real_002.trj,299.40,-0.02,-228.72,0.00,0.00,0.00,3.25,1.63,2.66,2.66,0.82,-25.14,6:50,rear end,0.82,246.56,121,1,2,4.01,1.85,271.70,0.00,0.82,-0.02,-228.72,-0.02,-228.72,123,1,2,3.75,1.99,246.56,1.63,0.81,-0.56,-223.32,-1.21,-224.81,1.00,99.00,99.00,
left turn real_002.trj,300.60,0.00,-241.32,0.00,0.00,0.00,5.91,1.63,2.72,2.72,0.81,-23.08,6:46,rear end,0.81,246.85,116,1,2,4.21,2.00,269.93,0.00,0.81,0.00,-241.32,0.00,-241.32,120,1,2,4.21,2.00,246.85,1.63,0.81,-0.57,-235.60,-1.20,-237.09,1.00,99.00,99.00,
left turn real_002.trj,301.00,4.57,-281.77,0.00,1.00,2.40,7.09,9.72,-0.36,-6.51,4.86,101.26,2:37,crossing,4.02,45.74,34,10006,1,4.76,2.07,345.78,5.41,4.86,2.19,-279.20,24.26,-284.79,117,5,1,4.76,2.07,87.03,7.09,4.86,7.29,-296.97,7.90,-285.20,1.00,99.00,99.00,
left turn real_002.trj,302.20,4.89,-328.69,0.00,1.20,3.60,4.25,3.67,-1.17,-7.20,1.83,0.00,5:59,rear end,2.42,90.60,132,5,2,4.21,2.00,90.60,0.59,1.83,4.89,-328.92,4.84,-323.70,140,5,2,4.21,2.00,90.60,4.25,1.83,4.99,-338.29,4.93,-332.60,1.00,99.00,99.00,
